"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Population density (people per sq. km of land area)","EN.POP.DNST","","307.988888888889","312.361111111111","314.972222222222","316.844444444444","318.666666666667","320.638888888889","322.527777777778","324.366666666667","326.255555555556","328.127777777778","330.222222222222","332.444444444444","334.683333333333","336.266666666667","336.983333333333","336.588888888889","335.366666666667","333.905555555556","333.222222222222","333.866666666667","336.483333333333","340.805555555556","345.561111111111","349.088888888889","350.144444444444","348.022222222222","343.516666666667","339.327777777778","339.066666666667","345.272222222222","359.011111111111","379.083333333333","402.8","426.111111111111","446.244444444444","462.222222222222","474.727777777778","484.872222222222","494.472222222222","504.738888888889","516.1","527.733333333333","538.983333333333","548.538888888889","555.727777777778","560.188888888889","562.344444444444","563.1","563.638888888889","564.827777777778","566.922222222222","569.777777777778","573.105555555556","576.522222222222","579.672222222222","582.622222222222","585.366666666667","588.027777777778","","",
"Afghanistan","AFG","Population density (people per sq. km of land area)","EN.POP.DNST","","14.0449866740189","14.3238075544527","14.617536684741","14.9262950709187","15.2503140030022","15.5850197592133","15.9297950556015","16.2930230064639","16.686235946451","17.1149128450204","17.5771911282664","18.0608629721533","18.5475645620807","19.0131881260914","19.4362650491683","19.8252198021015","20.1747786661765","20.4350059737157","20.5420090065251","20.4584612321171","20.1753408081365","19.7324510614833","19.2043163924884","18.6935820849799","18.2860153784885","17.976563122262","17.774919584597","17.7955534111448","18.1798195631529","19.0122047605919","20.3703964096437","22.1878289372913","24.2266381766382","26.1552660601048","27.740491070061","28.8782235088687","29.6497350121006","30.2327681279294","30.8961247434366","31.8291103758846","33.0958980485862","34.6180957632571","36.272510185951","37.8744049260178","39.2952194957571","40.488081671415","41.5104861685507","42.4628189810986","43.4929586741415","44.7040820390283","46.1315029255889","47.7305639800263","49.4280381705113","51.1147780534877","52.7120715007812","54.1971142358239","55.5959930153479","56.937760009803","","",
"Angola","AGO","Population density (people per sq. km of land area)","EN.POP.DNST","","4.43689099221946","4.4987077885618","4.55559316595813","4.60017967434026","4.62867570385819","4.63721344349082","4.63162188176787","4.62954359509104","4.65489211518409","4.7247653806048","4.84541349161787","5.01207347397128","5.21132750461218","5.42342183364081","5.63407395524184","5.83902221865725","6.04294136520414","6.24906312665437","6.46351728563407","6.69069463383332","6.93065372583621","7.18131868131868","7.44212400737948","7.71216331114141","7.99069302959814","8.27794256838052","8.5740354535975","8.8778775968557","9.18807812625331","9.50379882890832","9.8250589556429","10.1526959172215","10.4877267987487","10.8315930055346","11.1856950348921","11.5510700248656","11.9287478944413","12.3202061442207","12.7270947300874","13.1510972968637","13.5924865645304","14.0526325499318","14.5355570706666","15.0462380685008","15.5880340097858","16.1625900376995","16.7685593968076","17.4024496671212","18.0591008261811","18.7344557632149","19.427818240154","20.1395131146226","20.8677147669848","21.6104748536135","22.3665524985963","23.1350637683484","23.9165380604797","24.7130520574316","","",
"Albania","ALB","Population density (people per sq. km of land area)","EN.POP.DNST","","60.5766423357664","62.456897810219","64.3292335766423","66.2093065693431","68.0580656934307","69.8749270072993","71.7371532846715","73.8055474452555","75.9742700729927","77.9371897810219","79.8486496350365","81.8659124087591","83.8230656934307","85.7709489051095","87.7675547445255","89.7272262773723","91.7352554744526","93.6593430656934","95.5413138686131","97.5181386861314","99.491094890511","101.61598540146","103.794160583942","106.001058394161","108.20299270073","110.315145985401","112.540328467153","114.683795620438","117.808138686131","119.946788321168","119.225912408759","118.505072992701","117.784197080292","117.063357664234","116.342481751825","115.621642335766","114.900766423358","114.179927007299","113.459051094891","112.738211678832","111.685145985401","111.350729927007","110.934890510949","110.472226277372","109.908284671533","109.21704379562","108.394781021898","107.566204379562","106.843759124088","106.314635036496","106.02901459854","105.854051094891","105.660291970803","105.441751824818","105.135145985401","104.967189781022","104.870693430657","104.612262773723","","",
"Andorra","AND","Population density (people per sq. km of land area)","EN.POP.DNST","","30.5851063829787","32.7021276595745","34.9191489361702","37.168085106383","39.4659574468085","41.8021276595745","44.1659574468085","46.5744680851064","49.0595744680851","51.6510638297872","54.3808510638298","57.2170212765957","60.068085106383","62.8085106382979","65.3297872340426","67.6106382978723","69.7255319148936","71.7808510638298","74.0808510638298","76.7382978723404","79.7872340425532","83.2212765957447","86.9510638297872","90.863829787234","94.8936170212766","98.9723404255319","103.095744680851","107.306382978723","111.591489361702","115.976595744681","120.576595744681","125.293617021277","129.725531914894","133.355319148936","135.851063829787","136.936170212766","136.865957446809","136.472340425532","136.957446808511","139.127659574468","143.278723404255","149.040425531915","155.706382978723","162.221276595745","167.802127659574","172.325531914894","175.923404255319","178.429787234043","179.708510638298","179.678723404255","178.185106382979","175.376595744681","171.859574468085","168.53829787234","165.98085106383","164.46170212766","163.831914893617","163.842553191489","","",
"Arab World","ARB","Population density (people per sq. km of land area)","EN.POP.DNST","","8.43085960679282","8.66315397575051","8.90344134828232","9.15252623147927","9.41096454428042","9.67995054226128","9.95949018868935","10.2475795586666","10.5413832519941","10.8394091167324","11.1401620638103","11.4458007960695","11.762925094596","12.1003363383858","12.4642212910591","12.8569642890678","13.2760511386722","13.716558744491","14.1711373086396","14.6341584655871","15.1039418139666","15.5812539478974","16.0658115666619","16.5579438972014","17.0577054101537","17.5639451017858","18.0754376497664","18.5920819451999","19.114028850391","19.8171097612718","20.3581057248373","20.7340823863366","21.2936433858212","21.8460163210472","22.5275994307651","23.0521599927942","23.570274073153","24.0823696928048","24.6001988708755","25.1298017850851","25.6716598588875","26.226424691674","26.8008119266761","27.401534421914","28.03371219744","28.6999402152731","29.397506490908","30.1188865562692","30.8585805305893","31.5940206660427","27.7597516915618","28.3930254697186","29.0250128311309","29.6523176210246","30.2730419509119","30.8845408287065","31.486488446621","32.08975487905","","",
"United Arab Emirates","ARE","Population density (people per sq. km of land area)","EN.POP.DNST","","1.4192621796677","1.57868206139116","1.76189805688538","1.94366375668826","2.11006758659533","2.25254857786539","2.390467473951","2.57148690509716","2.85984229794424","3.30208392002253","3.90694170656153","4.66029287524641","5.55651929034075","6.58196282737257","7.72037454238243","8.9822866798085","10.3540411151788","11.7644043931287","13.1195297099409","14.3552379611377","15.4408617290904","16.401098282174","17.2973669388905","18.2198113207547","19.2363277949873","20.365812447198","21.5930160518164","22.9099690228105","24.2985215432273","25.7453111799493","27.2761616446072","28.9058152633061","30.5989721205294","32.3061813573641","34.005773021684","35.7522669670515","37.6142213460997","39.6115742044495","41.7633624331174","44.1292875246409","46.5040692762602","48.9830611095466","52.2660095747677","57.2876654463531","64.6046888200507","74.6293156857223","86.8605744860603","99.8238101943115","111.480878625739","120.388453956632","125.975457617573","128.718614474796","129.511546043368","129.740566037736","130.426640382991","131.807659814137","133.584947901999","135.609110109828","","",
"Argentina","ARG","Population density (people per sq. km of land area)","EN.POP.DNST","","7.60673148950009","7.72942934713102","7.85215424472629","7.97475234681312","8.09724521228199","8.21943113761515","8.34178112975894","8.46579882997344","8.59345084755672","8.72607456452868","8.86456303052227","9.0083915240674","9.15576042591598","9.30405051357662","9.45148189966712","9.5972437506623","9.74220609568493","9.88823980794317","10.03805180711","10.1935286788054","10.3550329047134","10.5216696081763","10.6924960444917","10.8660801917645","11.0411771154205","11.2175525909036","11.3949387764051","11.5719898855917","11.7470864438427","11.9190156722172","12.0872294633298","12.2517808008945","12.4128458100844","12.5709057291838","12.7263847933087","12.8791985939219","13.0294001147371","13.177765475812","13.3253010023057","13.4727671018639","13.620706766203","13.7690966094077","13.9174944915208","14.0651560827131","14.211668475421","14.3567148635761","14.5008367772747","14.6454877973026","14.7926100508278","14.904301546759","15.0771515955406","15.2495426957383","15.421160233713","15.5916453818299","15.7606327351655","15.9281350828921","16.0941907925267","16.2585100979651","","",
"Armenia","ARM","Population density (people per sq. km of land area)","EN.POP.DNST","","68.1943097997893","70.5839831401475","72.9742887249737","75.3425008781173","77.6719002458728","79.9449947312961","82.1611169652266","84.3394099051633","86.5095890410959","88.6922374429224","90.8924481910783","93.0975061468212","95.2857744994731","97.4270460133474","99.499789251844","101.495574288725","103.420547945205","105.28335089568","107.099016508606","108.877906568318","110.575904460836","112.177344573235","113.754654021777","115.405655075518","117.173867228662","119.152230417984","121.248577449947","123.100070249385","124.217562346329","124.277168949772","123.121109940288","120.927889005971","118.12813487882","115.337794169301","113.008359676853","111.282788900597","110.048788198103","109.19167544784","108.500948366702","107.818440463646","107.154443273621","106.567544783983","106.003933965578","105.399367755532","104.716157358623","103.909624165789","103.007305936073","102.1291886196","101.443343870741","101.064945556726","101.03751317176","101.307657183","101.77674745346","102.297260273973","102.759149982438","103.131225851774","103.435511064278","103.680224798033","","",
"American Samoa","ASM","Population density (people per sq. km of land area)","EN.POP.DNST","","103.01","106.265","110.17","114.27","118.36","122.31","126.24","129.945","133.515","136.815","139.92","142.835","145.5","147.98","150.26","152.28","154.19","156.345","159.225","163.23","168.505","174.84","182.06","189.73","197.595","205.595","213.7","221.715","229.47","236.735","243.425","249.48","255.1","260.475","265.805","271.055","276.105","280.855","285.265","289.105","292.47","295.4","297.52","298.405","297.81","295.535","291.825","287.46","283.415","280.395","278.795","278.335","278.565","278.955","279.06","278.705","278.1","277.325","","",
